scientific_name	scientific_name_synonym	english_name	dutch_name	french_name	german_name	entry_into_force	kingdom
Solenopsis geminata (Fabricius, 1804)		tropical imported fire ant	tropische vuurmier	fourmi de feu tropicale	Tropische Feuerameise	2 August 2022	Animalia
Solenopsis invicta Buren, 1972		red imported fire ant	rode vuurmier	grande fourmi de feu	Rote Feuerameise	2 August 2022	Animalia
Solenopsis richteri Forel, 1909		black imported fire ant	zwarte vuurmier	fourmi de feu noire	Schwarze feuerameise	2 August 2022	Animalia
Tamias sibiricus Laxmann, 1769		Siberian chipmunk	Siberische grondeekhoorn	tamia de Sibérie	Sibirisches Streifenhörnchen	3 August 2016	Animalia
Threskiornis aethiopicus Latham, 1790		Sacred ibis	heilige ibis	ibis sacré	Heiliger Ibis	3 August 2016	Animalia
Trachemys scripta Schoepff, 1792		Red-eared, yellow-bellied and Cumberland sliders	lettersierschildpad	tortue de Floride	Buchstaben-Schmuckschildkröte	3 August 2016	Animalia
Triadica sebífera (L.) Small	Sapium sebiferum (L.) Roxb.	Chinese tallow	talgboom	arbre à suif	Chinesischer Talgbaum	15 August 2019	Plantae
Vespa velutina nigrithorax de Buysson, 1905		Asian hornet	Aziatische hoornaar	frelon asiatique	Asiatische Hornisse	3 August 2016	Animalia
Wasmannia auropunctata (Roger, 1863)		little fire ant	dwergvuurmier	petite fourmi de feu	Kleine Feuerameise	2 August 2022	Animalia
Xenopus laevis (Daudin, 1802)		African clawed frog	Afrikaanse klauwkikker	xénope lisse	Glatte Krallenfrosch	2 August 2024	Animalia
Acacia mearnsii De Wild., Pl. Bequaert. 3: 61 (1925)		Black wattle	bleekgele acacia	acacia noir	schwarze Akazie	7 August 2025	Plantae
Acridotheres cristatellus(Linnaeus, 1758)		Crested myna	kuifmaina	martin huppé	Haubenmaina	7 August 2025	Animalia	
Asterias amurensis Lutken, 1871		Northern pacific seastar	Noord-Atlantische zeester	Étoile de mer du Pacifique Nord	Nordpazifischer Seestern	7 August 2025	Animalia
Bipalium kewense Moseley, 1868			Arrowhead flatworm	hamerhoofdplatworm			7 August 2025	Animalia
Brachyponera chinensis (Emery, 1895)		Asian needle-ant				7 August 2025	Animalia
Broussonetia papyrifera (L.) L'Hér ex Vent.		Paper mulberry	papiermoerbei	Mûrier a papier	Papiermaulbeerbaum	7 August 2025	Plantae
Cervus nippon Temminck, 1838		Sika dear	Sikahert	Cerf sika	Sikahirsch	7 August 2025	Animalia
Cherax destructor Clark, 1936		Common yabby	Australische kreeft	Écrevisse de Murray	Blauer yabby	7 August 2025	Animalia
Cipangopaludina chinensis(Gray 1834)		Chinese mystery snail	Chinese moerasslak	Vivipare chinoise		7 August 2025	Animalia
Crassula helmsii(Kirk) Cockayne		New Zealand pigmyweed	watercrassula	Crassule des étangs	Helms Dickblatt	7 August 2025	Plantae
Delairea odorata Lem.		Cape ivy	klimopkruiskruid	Lierre d’Allemagne	Kap-Efeu	7 August 2025	Plantae
Faxonius immunis (Hagen, 1870)		Calico crayfish	calicotrivierkreeft	Écrevisse calicot	kalikokrebs	7 August 2025	Animalia
Marisa cornuarietis (Linnaeus 1758)		Ramshorn apple snail	Marisa slak	Marise corne-de-bélier	Paradiesschnecke	7 August 2025	Animalia
Misgurnus anguillicaudatus (Cantor, 1842)		Oriental weatherfish	Aziatische modderkruiper	Loche baromètre	Ostasiatischer Schlammpeitzger	7 August 2025	Animalia
Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)		Northern oriental weatherfish	Noord-Aziatische modderkruiper		Nordasiatischer Schlammpeitzger	7 August 2025	Animalia
Mulinia lateralis (Say, 1822)		Dwarf surf clamb	Amerikaanse strandschelp	Mactre naine	Amerikanische Trogmuschel	7 August 2025	Animalia
Nanozostera japonica(Ascherson & Graebner) Tomlinson & Posluszny, 2001		Japanese eelgras	Japans dwergzeegras	Zostère japonaise	Japanisches Seegras	7 August 2025	Plantae
Obama nungara Carbayo, Álvarez-Presas, Jones & Riutort, 2016		Obama flatworm	grote gevlekte landplatworm			7 August 2025	Animalia
Platydemus manokwari de Beauchamp, 1963		New-guinea flatworm	Nieuw-Guineese landplatworm			7 August 2025	Animalia
Pycnonotus jocosus(Linnaeus, 1758)		Red whiskered bulbul	roodoorbuulbuul	Bulbul orphée	Rotohrbülbül	7 August 2025	Animalia
Reynoutria japonica Houtt.		Japanese knotweed	Japanse duizendknoop	Renouée du Japon	Japanischer Staudenknöterich	7 August 2025	Plantae
Reynoutria sachalinensis(F. Schmidt) Nakai		Giant knotweed	Sachalinse duizendknoop	Renouée de Sakhaline	Sachalin Staudenknöterich	7 August 2025	Plantae
Reynoutria × bohemica Chrtek & Chrtková		Bohemian knotweed	basterdduizendknoop	Renouée de bohème	Bastard Staudenknöterich	7 August 2025	Plantae
Vespa mandarinia Smith, 1852		Giant asian hornet	Aziatische reuzenhoornaar	Frelon géant	Riesenhornisse	7 August 2025	Animalia
Castor canadensis Kuhl, 1820		North American beaver	Canadese bever	Castor du Canada	Canadischer Biber	7 August 2025	Animalia
Neogale vison (Schreber, 1777)		American mink	Amerikaanse nerts	Vison d'Amerique	Amerikanischer Nerz	7 August 2025	Animalia
